CustomerId,First_Name,Last_Name,Last_Purchase_Date,First_Purchase_Date,Customer_Lifetime,Total_Revenue,Number_Transactions,Profit_Margin,Average_Order_Value,Purchase_Frequency,Repeat_Rate,Churn_Rate,Customer_Value,Customer_Lifetime_Value
9,Kara,Nielsen,2013-02-02 00:00:00,2009-09-06 00:00:00,1245.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
10,Eduardo,Martins,2013-08-12 00:00:00,2009-04-09 00:00:00,1586.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
11,Alexandre,Rocha,2013-03-18 00:00:00,2009-09-06 00:00:00,1289.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
12,Roberto,Almeida,2013-10-05 00:00:00,2009-05-23 00:00:00,1596.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
13,Fernanda,Ramos,2012-11-01 00:00:00,2009-06-05 00:00:00,1245.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
14,Mark,Philips,2013-05-11 00:00:00,2009-01-06 00:00:00,1586.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
16,Frank,Harris,2013-07-04 00:00:00,2009-02-19 00:00:00,1596.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
18,Michelle,Brooks,2013-10-08 00:00:00,2010-05-12 00:00:00,1245.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
21,Kathy,Chase,2013-12-04 00:00:00,2009-03-05 00:00:00,1735.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
23,John,Gordon,2013-12-04 00:00:00,2009-01-11 00:00:00,1788.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
27,Patrick,Gray,2013-10-13 00:00:00,2009-06-10 00:00:00,1586.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
29,Robert,Brown,2013-12-06 00:00:00,2009-07-24 00:00:00,1596.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
30,Edward,Francis,2013-01-02 00:00:00,2009-08-06 00:00:00,1245.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
31,Martha,Silk,2013-07-12 00:00:00,2009-03-09 00:00:00,1586.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
32,Aaron,Mitchell,2013-02-15 00:00:00,2009-08-06 00:00:00,1289.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
33,Ellie,Sullivan,2013-09-04 00:00:00,2009-04-22 00:00:00,1596.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
35,Madalena,Sampaio,2013-12-09 00:00:00,2010-07-13 00:00:00,1245.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
36,Hannah,Schneider,2012-11-14 00:00:00,2009-05-05 00:00:00,1289.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
38,Niklas,Schröder,2012-06-30 00:00:00,2009-02-01 00:00:00,1245.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
41,Marc,Dubois,2013-10-21 00:00:00,2010-04-11 00:00:00,1289.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
47,Lucas,Mancini,2013-03-05 00:00:00,2009-10-07 00:00:00,1245.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
49,Stanisław,Wójcik,2013-04-18 00:00:00,2009-10-07 00:00:00,1289.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
50,Enrique,Muñoz,2013-11-05 00:00:00,2009-06-23 00:00:00,1596.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
52,Emma,Jones,2013-06-11 00:00:00,2009-02-06 00:00:00,1586.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
53,Phil,Hughes,2013-01-15 00:00:00,2009-07-06 00:00:00,1289.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
54,Steve,Murray,2013-08-04 00:00:00,2009-03-22 00:00:00,1596.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
55,Mark,Taylor,2012-08-31 00:00:00,2009-04-04 00:00:00,1245.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
56,Diego,Gutiérrez,2013-11-08 00:00:00,2010-06-12 00:00:00,1245.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
59,Puja,Srivastava,2012-05-30 00:00:00,2009-04-05 00:00:00,1151.0,36.64,6,10.992,1.832,6,1,0,10.992,65.952
